00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] LoadLibraryA function found and stored from kernel32.dll
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] LoadLibraryW function found and stored from kernel32.dll
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] GetProcAddress function found and stored from kernel32.dll
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] GetAsyncKeyState function found and stored from user32.dll
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] GetKeyState function found and stored from user32.dll
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] GetKeyboardState function found and stored from user32.dll
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] GetCursorPos function found and stored from user32.dll
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] SetCursorPos function found and stored from user32.dll
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] No XInput modules found yet - will retry later
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] Installing runtime hooks for dynamically loaded XInput functions...
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] No XInput modules found for runtime hooking
00:29:27:774 [50300] | INFO  | [Display Commander] [XInput Test] XInput runtime hooks prepared - will activate when modules are loaded
00:29:27:775 [50300] | INFO  | [Display Commander] XInput tester initialized successfully
00:29:27:778 [30972] | INFO  | [Display Commander] [XInput Test] XInput background retry thread started
00:29:27:778 [30972] | INFO  | [Display Commander] [XInput Test] XInput retry attempt 1 - checking for XInput modules
00:29:27:778 [30972] | INFO  | [Display Commander] [XInput Test] Installing runtime hooks for dynamically loaded XInput functions...
00:29:27:778 [30972] | INFO  | [Display Commander] [XInput Test] No XInput modules found for runtime hooking
00:29:27:779 [30972] | INFO  | [Display Commander] [XInput Test] No XInput modules found in process
00:29:28:042 [30972] | INFO  | [Display Commander] [XInput Test] XInput retry attempt 2 - checking for XInput modules
00:29:28:042 [30972] | INFO  | [Display Commander] [XInput Test] Installing runtime hooks for dynamically loaded XInput functions...
00:29:28:042 [30972] | INFO  | [Display Commander] [XInput Test] No XInput modules found for runtime hooking
00:29:28:042 [30972] | INFO  | [Display Commander] [XInput Test] No XInput modules found in process
